Name,Type of Agency,Tagline,Ratings,Reviews,Sponsor,MinProjectSize,HourlyRate,TeamSize,Location,ServiceNames,ServicePercentages,Feedback,WebsiteLink,ClutchDirectoryLink
Moonlite Blinds and Shutters,Interior Design,Window Blinds You Will Love!,,,No,"$1,000+",< $25 / hr,2 - 9,"Derby, United Kingdom","Interior Design,Out of Home Design,Customer Service Outsourcing","80,15,5","We are based in Derby, and when it’s come to blinds in Derby. We are dedicated to bringing you the finest quality window blinds at the most competitive prices around. We offer our services to…",https://www.moonliteblinds.co.uk/blinds-in-derby/,https://clutch.co/profile/moonlite-blinds-shutters
Mainland Furniture- Console Tables,Interior Design,Console Tables,,,No,Undisclosed,Undisclosed,2 - 9,"Christchurch, New Zealand",Interior Design,100,"Mainland Furniture's modern console tables bring style, function and statement-making design to your home. Our console tables provide ample space to display your favourite decorative items…",https://www.mainlandfurniture.co.nz/collections/hall-tables,https://clutch.co/profile/mainland-furniture-console-tables
Studio DB,Interior Design,office interior design,,,No,Undisclosed,Undisclosed,2 - 9,"Auckland, New Zealand",Interior Design,100,"Introducing Studio DB, one of the coolest offices fit out companies! We provide a complete range of office fit out services, from design and planning to construction and project management. We take…",https://www.studiodb.co.nz/,https://clutch.co/profile/studio-db
Gray Space Interiors,Interior Design,"Creativity, functionality, process",,,No,"$10,000+",Undisclosed,2 - 9,"Elkins Park, PA",Interior Design,100,"Gray Space Interiors is an award winning national residential and commercial interior design firm based in Philadelphia. Devoted to a curated, client-focused and collaborative experience, our…",https://grayspaceinteriors.com/,https://clutch.co/profile/gray-space-interiors
The Designers Group,Interior Design,Designing with purpose,,,No,Undisclosed,Undisclosed,10 - 49,"Brooklyn, NY","Interior Design,Branding","75,25","At The Designers Group, our passion for designing spaces that enhance the well-being and productivity of those who use them has been at the core of our mission since our founder Blima Ehrentreu…",https://www.thedesignersgroup.com/,https://clutch.co/profile/designers-group
"Valent Kuchyne interiéry, s.r.o.",Interior Design,We build it better then anyone,,,No,"$1,000+",< $25 / hr,2 - 9,"Bratislava, Slovakia",Interior Design,100,We build it better then anyone,https://www.kuchynevalent.sk/,https://clutch.co/profile/valent-kuchyne-interi-ry-sro
Cad Drafting Team,Interior Design,Cad Drafting & Designing Service – Caddraftingteam,,,No,"$5,000+",$25 - $49 / hr,250 - 999,"Bengaluru, India","Interior Design,Product Design","50,50","Get your Drawings Digitized and Lives with CAD Drafting Services.
  Genuine services, Quick delivery, dedicated quality checking, Client Confidentiality, Quick learning of new tool, lowest…",http://caddraftingteam.com/,https://clutch.co/profile/cad-drafting-team
Pinnacle Building Group & Renovations - Basement Remodelling in Atlanta,Interior Design,Pinnacle Building Group & Renovations - Basement R,,,No,"$1,000+",$100 - $149 / hr,250 - 999,"Marietta, GA",Interior Design,100," 
Pinnacle Building Group & Renovations has worked hard to build a solid reputation. We take great pride in the design and construction work we do, whether it's creating a stunning outdoor…",https://renovationsatl.com/,https://clutch.co/profile/pinnacle-building-group-renovations-basement-remodelling-atlanta
Jostar Interiors,Interior Design,Designs and Renovations,,,No,Undisclosed,Undisclosed,2 - 9,"Edmonton, Canada",Interior Design,100,"At Jostar Interiors Ltd., it's our goal to provide you, our valued client with the best complete interior design and decorating service possible. We pledge to always offer you creative designs,…",https://www.jostar.com/,https://clutch.co/profile/jostar-interiors
"Cantley & Company, Inc",Interior Design,Design Firm,,,No,Undisclosed,Undisclosed,2 - 9,"Birmingham, AL",Interior Design,100,"Cantley and Company, Inc, is an award-winning, nationally published cabinet and design firm. Cantley has been published in Southern Living, Bon Appétit, Southern Accents, Birmingham Home and Garden…",http://www.cantleyandcompany.com/,https://clutch.co/profile/cantley-company
Ron Nathan Interiors,Interior Design,New Jersey Interior Design,,,No,Undisclosed,Undisclosed,2 - 9,"Wyckoff, NJ",Interior Design,100,"Ron Nathan Interiors is recognized as a premier interior design firm located in Wyckoff, New Jersey. This Bergen County Interior Designer is renowned for creating luxury, custom residential interiors…",https://www.ronnathaninteriors.com/,https://clutch.co/profile/ron-nathan-interiors
Design Environments Inc.,Interior Design,Timely delivery and smooth installations,,,No,Undisclosed,Undisclosed,2 - 9,"Marietta, GA",Interior Design,100,"Design Environments Inc. specializes in designing leasing and sales offices,  model homes, and clubhouse amenities throughout the United States. We pride ourselves on unique designs that are…",http://www.designenvironments.com/,https://clutch.co/profile/design-environments
Duffy Design Group,Interior Design,Boston Interior design firm,,,No,Undisclosed,Undisclosed,2 - 9,"Boston, MA",Interior Design,100,"Duffy Design Group is a full service interior design firm, known for its unique and thoughtful designs. The firm offers its expertise and specific vision to residential and commercial clients,…",http://duffydesigngroup.com/,https://clutch.co/profile/duffy-design-group
"T. D. Farrell Construction, Inc.",Interior Design,A full service General Contractor,,,No,Undisclosed,Undisclosed,50 - 249,"Alpharetta, GA","Interior Design,Commercial Development","50,50","At T. D. Farrell Construction, we pride ourselves on providing an unsurpassed delivery and customer service experience.  Our claim is evidenced by our 100% repeat client ratio. Our company…",http://www.tdfarrell.com/,https://clutch.co/profile/t-d-farrell-construction
EARTH AND IMAGES,Interior Design,celebrate comfort of the past & thrill of future!,,,No,Undisclosed,Undisclosed,2 - 9,"Scottsdale, AZ",Interior Design,100,"Earth and Images specialize in a variety of interior design applications. Our services include making spaces functional and beautiful from initial design meetings, materials and specifications,…",http://www.earthandimages.com/,https://clutch.co/profile/earth-images
Jackson | Main Architecture,Interior Design,Design Firm,,,No,Undisclosed,Undisclosed,50 - 249,"Seattle, WA","Interior Design,Architectural Design","50,50","Founded in 2015 with the merger of two established firms, Jackson | Main is focused on architecture, master planning, and interior design for a range of clients, based from offices in Seattle and…",https://www.jacksonmain.com/,https://clutch.co/profile/jackson-main-architecture
