Name,Type of Agency,Tagline,Ratings,Reviews,Sponsor,MinProjectSize,HourlyRate,TeamSize,Location,ServiceNames,ServicePercentages,Feedback,WebsiteLink,ClutchDirectoryLink
Bujou Studios,Interior Design,The Creative Ecosystem.,5.0,9 REVIEWS,No,"$10,000+",$150 - $199 / hr,10 - 49,"Calgary, Canada","Interior Design,Social Media Marketing,Digital Strategy,Advertising,Branding,Event Marketing & Planning,Public Relations,Video Production","15,20,15,10,10,10,10,10","""I was very impressed with their overall communication.""",https://bujou.ca/?utm_source=clutch.co&utm_medium=referral&utm_campaign=agencies-design-interior,https://clutch.co/profile/bujou-studios
Arsight,Interior Design,NYC Award-Winning Interior Design Studio,5.0,5 REVIEWS,No,"$50,000+",Undisclosed,2 - 9,"New York, NY",Interior Design,100,"""Arsight's hired interior designer showcased adept project management, consistently meeting deadlines.""",https://www.arsight.co/,https://clutch.co/profile/arsight
Duelle,Interior Design,Boutique female-led Interior Design studio,4.9,7 REVIEWS,No,"$250,000+",$100 - $149 / hr,2 - 9,"London, United Kingdom",Interior Design,100,"“They’re really good at facing challenges. Our challenge was a tight budget, but they found solutions for it.”",https://duelle.studio/,https://clutch.co/profile/duelle
wknd designs,Interior Design,"More Than Just Pretty, Purposeful.",5.0,2 REVIEWS,No,"$50,000+",$150 - $199 / hr,10 - 49,"Calgary, Canada",Interior Design,100,"""We couldn't be any happier with the services they provided.""",https://www.wknddesigns.ca/,https://clutch.co/profile/wknd-designs
K-Studio,Interior Design,Creating 3D visualizations and interior design,5.0,4 REVIEWS,No,"$1,000+",< $25 / hr,2 - 9,"Sambir, Ukraine","Interior Design,Architectural Design","70,30","""I felt like I was always in the loop on finish dates for each portion of work.""",https://3dinteriorrenders.com/,https://clutch.co/profile/k-studio
CKDESIGN Licensed Interior Design,Interior Design,"AAA, Licensed Interior Design Studio in AB, Canada",5.0,4 REVIEWS,No,"$10,000+",$150 - $199 / hr,2 - 9,"Edmonton, Canada",Interior Design,100,"""They really delved into finding out who we were and what we wanted out of our space.""",https://www.ckdesignassociates.com/,https://clutch.co/profile/ckdesign-licensed-interior-design
Unity Interiors,Interior Design,Design | Planning | Consulting,5.0,1 REVIEW,No,"$1,000+",< $25 / hr,2 - 9,"Ahmedabad, India","Interior Design,Architectural Design","70,30","""Their coordination and design sense were impressive.""",http://unityinteriors.com/,https://clutch.co/profile/unity-interiors
Studio Skara,Interior Design,SPACES TO LIVE & DREAM IN...,5.0,2 REVIEWS,No,"$10,000+",$100 - $149 / hr,2 - 9,"Los Angeles, CA",Interior Design,100,"""They immediately imagined what would instantly make my space more comfortable and functional.""",http://www.studioskara.com/,https://clutch.co/profile/studio-skara
eeternal DESIGNS,Interior Design,Design Suites Your Brand Style,5.0,1 REVIEW,No,Undisclosed,Undisclosed,50 - 249,"Mumbai, India",Interior Design,100,"“They get things done, and they don’t charge too much.”",http://eeternaldesigns.com/,https://clutch.co/profile/eeternal-designs
Brandon Archibald,Interior Design,Space branding agency,5.0,4 REVIEWS,No,"$5,000+",$25 - $49 / hr,10 - 49,"Odesa, Ukraine","Interior Design,Branding,Marketing Strategy,Architectural Design,Content Marketing,Digital Strategy,Market Research,Social Media Marketing","25,25,25,5,5,5,5,5","""They knew how to listen and understand, I think it was incredible.""",https://brandon-archibald.com/,https://clutch.co/profile/brandon-archibald
A&T Events and Exhibitions,Interior Design,Art without limits,4.5,1 REVIEW,No,"$5,000+",$50 - $99 / hr,10 - 49,United Arab Emirates,"Interior Design,Event Marketing & Planning","50,50","""We did not have to go back-and-forth on anything.""",http://www.at-s.ae/,https://clutch.co/profile/events-exhibitions
Eleven Interiors,Interior Design,Luxury Interior Design Collaborative,5.0,1 REVIEW,No,"$250,000+",$200 - $300 / hr,2 - 9,"Boston, MA",Interior Design,100,"“They managed to turn a house into a home and made it warm, inviting, interesting, and contemporary.”",http://eleveninteriors.com/,https://clutch.co/profile/eleven-interiors
Nord Designs,Interior Design,Design matters,5.0,2 REVIEWS,No,"$1,000+",< $25 / hr,2 - 9,"L'viv, Ukraine","Interior Design,Product Design","75,25",“Nord Designs is incredibly professional in the way they deal with us and structure the project.”,https://nord-design.com.ua/,https://clutch.co/profile/nord-designs
Frost*collective,Interior Design,Strategic creative group,5.0,1 REVIEW,No,"$100,000+",$200 - $300 / hr,10 - 49,"Alexandria, Australia","Interior Design,Branding,Logo,Graphic Design,Packaging Design,Print Design","20,30,25,10,10,5",“Their team is good at distilling our message and turning it into something eye-catching and creative.”,https://www.frostcollective.com.au/,https://clutch.co/profile/frostcollective
Blenwiq,Interior Design,"You imagine, we create!",5.0,31 REVIEWS,No,"$1,000+",$50 - $99 / hr,10 - 49,"Al Wakrah, Qatar","Interior Design,Video Production,Graphic Design","20,50,30","""Even though they had no experience in some project areas, they took the time to internalize it to be up to the task.""",https://www.blenwiq.com/,https://clutch.co/profile/blenwiq
Mapia Services Private Limited,Interior Design,Connecting People with Professionals,5.0,2 REVIEWS,No,Undisclosed,Undisclosed,2 - 9,"Lahore, Pakistan","Interior Design,Architectural Design,Engineering,Out of Home Design","25,40,25,10","""Their platform connected so many individuals on a single page.""",https://mapia.pk/,https://clutch.co/profile/mapia-services-private
RENDER.BAR,Interior Design,We do high-end CG content of architecture-to-be.,5.0,2 REVIEWS,No,"$1,000+",$25 - $49 / hr,10 - 49,"Львів, Ukraine","Interior Design,Other Digital Marketing,Architectural Design","25,50,25","""RENDER.BAR is a great company producing phenomenal work.""",https://render.bar/,https://clutch.co/profile/renderbar
Nicole Lanteri Design,Interior Design,Fun and Functional Corporate Spaces,5.0,1 REVIEW,No,Undisclosed,Undisclosed,2 - 9,"Arlington, VA",Interior Design,100,“Nicole Lanteri Design was able to aggregate multiple opinions and ultimately create a space that pleased everyone.”,http://nicolelanteri.com/,https://clutch.co/profile/nicole-lanteri-design
Start Design,Interior Design,Defining Experiences. Defining Brands.,5.0,2 REVIEWS,No,"$25,000+",$150 - $199 / hr,10 - 49,"Dubai, United Arab Emirates","Interior Design,Branding,Digital Strategy,UX/UI Design,Graphic Design,Web Design","25,25,15,15,10,10","""The look and feel of the store fits our brand as well as creating the necessary wow factor.""",https://www.startdesign.com/,https://clutch.co/profile/start-design
Cutler,Interior Design,Architecture. Interior Design.,4.8,4 REVIEWS,No,"$25,000+",$100 - $149 / hr,10 - 49,"Vancouver, Canada","Interior Design,Architectural Design","75,25","""We were extremely happy with the overall outcome.""",https://www.cutlerdc.com/,https://clutch.co/profile/cutler
Tardigrada Design Studio,Interior Design,Branding and Visual experiences.,4.8,3 REVIEWS,No,"$5,000+",$100 - $149 / hr,2 - 9,"Vancouver, Canada","Interior Design,Branding,Graphic Design,Logo,Packaging Design,Print Design,UX/UI Design,Web Design","30,40,5,5,5,5,5,5","""They listen to us deeply and ask the right questions to evolve the outcome.""",https://tardigradastudio.com/,https://clutch.co/profile/tardigrada-design-studio
Newmat India,Interior Design,Your stretch ceiling specialists.,4.5,2 REVIEWS,No,"$1,000+",$25 - $49 / hr,10 - 49,"Mumbai, India","Interior Design,Lighting Design","50,50","""They did the work in the given timeline.""",http://www.newmat.in/,https://clutch.co/profile/newmat-india
Freedes Studio,Interior Design,"3D Visualization, Rendering, CGI, 3Dsmax",5.0,7 REVIEWS,No,"$1,000+",< $25 / hr,10 - 49,"Dnipro, Ukraine","Interior Design,Architectural Design","50,50","""The quality of their work and their customer service were impressive.""",https://freedesstudio.com/,https://clutch.co/profile/freedes-studio
MURSHID INTERIORS مرشد للتصميم الداخلي,Interior Design,TOP - BEST & PROFESSIONAL INTERIOR DESIGN IN DUBAI,5.0,1 REVIEW,No,"$1,000+",Undisclosed,10 - 49,"Dubai, United Arab Emirates","Interior Design,Engineering","50,50",''ALL IS EXCELLENT - HIGHLY RECOMMENDED BY US.'',https://www.interiordecor.ae/,https://clutch.co/profile/murshid-interiors
CLIPPING FLY,Interior Design,Photo Editing,5.0,1 REVIEW,No,"$1,000+",$25 - $49 / hr,10 - 49,"Los Angeles, CA","Interior Design,Architectural Design,Graphic Design","50,25,25","ClippingFly is one of the online assisted overseas clipping path and photo editing companies.The Clipping Path Company provides professional photo editing services such as removing background, …",https://clippingfly.com/,https://clutch.co/profile/clipping-fly
MCORP,Interior Design,Design and construction company,5.0,2 REVIEWS,No,"$5,000+",$100 - $149 / hr,10 - 49,"Kharkiv, Ukraine","Interior Design,Architectural Design","45,55",“They managed to put many of the elements we wanted inside the house.”,https://m2corp.com.ua/,https://clutch.co/profile/mcorp
Vigor,Interior Design,Do it with Vigor,4.8,11 REVIEWS,No,"$50,000+",$150 - $199 / hr,10 - 49,"Atlanta, GA","Interior Design,Branding,Advertising,Packaging Design,Other","10,50,20,15,5",“We’re very impressed with Vigor’s creativity.”,https://vigorbranding.com/?utm_source=clutch.co&utm_medium=referral&utm_campaign=directory,https://clutch.co/profile/vigor
Hager Design International Inc,Interior Design,Hospitality/ Retail Design Specialists,5.0,2 REVIEWS,No,Undisclosed,Undisclosed,10 - 49,"Vancouver, Canada","Interior Design,Architectural Design","50,50","""They constantly meet deadlines and minimize the number of overages to clients regarding extra costs.""",https://www.hagerinc.com/,https://clutch.co/profile/hager-design-international
"ABS Architects, LLC (Alt Breeding Schwarz Architects)",Interior Design,Architectural and Interiors Firm,5.0,1 REVIEW,No,Undisclosed,Undisclosed,10 - 49,"Annapolis, MD","Interior Design,Architectural Design","50,50","""Their expertise is incomparable, but their ability to inspire trust is what made this a success.""",http://www.absarchitects.com/,https://clutch.co/profile/abs-architects-alt-breeding-schwarz-architects
Red Chair Designs LLC,Interior Design,Interior Design Firm,4.5,1 REVIEW,No,Undisclosed,Undisclosed,2 - 9,"Denver, CO",Interior Design,100,"“They’re approachable and fun, and that makes doing the project enjoyable.”",http://redchairdesigns.com/,https://clutch.co/profile/red-chair-designs
UpperKey,Interior Design,Unlock you property's potential with UpperKey,5.0,3 REVIEWS,No,Undisclosed,Undisclosed,10 - 49,"London, United Kingdom","Interior Design,Commercial Property Management,Corporate Relocation,Business Consulting,Commercial Brokerage Services,Commercial Development","25,35,20,10,5,5","""Flexible management is the specialty of UpperKey.""",https://www.theupperkey.com/,https://clutch.co/profile/upperkey
3D Rendering Solaris17,Interior Design,ArchVis that beams with Quality,5.0,3 REVIEWS,No,"$1,000+",< $25 / hr,2 - 9,"Herts, United Kingdom","Interior Design,Architectural Design,Product Design","40,50,10","""We enjoyed the level of attention and detail that was a common theme throughout the process.""",https://www.solaris17.co.uk/,https://clutch.co/profile/3d-rendering-solaris17
VIZfire,Interior Design,"Renderings, Animations, VR",5.0,1 REVIEW,No,"$5,000+",$100 - $149 / hr,2 - 9,"Chicago, IL","Interior Design,AR/VR Development,Architectural Design","35,35,30","“Relative to other companies we’ve worked with, their product is certainly a step above the rest.”",https://vizfire.net/,https://clutch.co/profile/vizfire
PIXREADY,Interior Design,3D Visualization And Modeling Services,4.9,5 REVIEWS,No,Undisclosed,$25 - $49 / hr,10 - 49,"L'viv, Ukraine","Interior Design,Product Design,Architectural Design","35,35,30","""Their capacity to quickly learn and adapt to our changes is impressive.""",https://pixready.com/,https://clutch.co/profile/pixready
xolve branding,Interior Design,Strategic Branding Agency,5.0,4 REVIEWS,No,"$10,000+",Undisclosed,10 - 49,"Ho Chi Minh, Vietnam","Interior Design,Branding,Business Consulting,Logo,Market Research,Web Design","10,50,10,10,10,10","""Their creativity was top-notch!""",http://www.xolvebranding.com/,https://clutch.co/profile/xolve-branding
Lemonade Studio,Interior Design,Internet Software House & Creative Studio,5.0,10 REVIEWS,No,"$5,000+",$50 - $99 / hr,2 - 9,"Rzeszów, Poland","Interior Design,AR/VR Development,Web Development,Architectural Design,Web Design","30,30,20,10,10","""The most impressive part of working with them was the knowledge they had.""",https://portfolio.lemonadestudio.pl/,https://clutch.co/profile/lemonade-studio-0
Kasian,Interior Design,The power of design can create a better world.,,,No,Undisclosed,Undisclosed,250 - 999,"Vancouver, Canada","Interior Design,Architectural Design","50,50","As architects, designers, and planners, we champion people and apply design solutions that improve lives and create a deeper connection between people and place. With an insatiable curiosity for the…",http://kasian.com/,https://clutch.co/profile/kasian
Asteroid,Interior Design,We create an impact!,5.0,3 REVIEWS,No,"$5,000+",$50 - $99 / hr,2 - 9,"Rīga, Latvia","Interior Design,Graphic Design,Branding,Architectural Design","10,40,30,20","""We found a 'one-stop-shop' solution for all our marketing and communication needs.""",https://www.asteroid.lv/,https://clutch.co/profile/asteroid
Pentagrama Estudio de Diseño,Interior Design,Design Is Our Thing.,5.0,3 REVIEWS,No,Undisclosed,Undisclosed,2 - 9,"Panamá, Panama","Interior Design,Architectural Design","50,50",“Pentagrama Estudio de Diseño offers the perfect balance of performance and creative collaboration simultaneously.”,https://www.pentagramaed.com/,https://clutch.co/profile/pentagrama-estudio-de-dise-o
RIGHT-AWAY CONSTRUCTION CORP,Interior Design,General Contractor | Best Remodeling Company,5.0,1 REVIEW,No,"$1,000+",$25 - $49 / hr,2 - 9,"Queens, NY","Interior Design,Commercial Development,Commercial Property Management,Engineering","50,40,5,5","""The team did a great job.""",https://www.rightawayconstructionyc.com/,https://clutch.co/profile/right-away-construction-corp
RendRent,Interior Design,Architectural Visualization & 3D Rendering Service,5.0,1 REVIEW,No,Undisclosed,$25 - $49 / hr,10 - 49,"Kyiv, Ukraine","Interior Design,Architectural Design,Product Design","40,45,15","""What I found most impressive about RendRent was their ability to create incredibly realistic 3D renders.""",https://www.rendrent.com/,https://clutch.co/profile/rendrent
Buch Construction,Interior Design,Going Beyond What's Expected,5.0,1 REVIEW,No,Undisclosed,Undisclosed,50 - 249,"Laurel, MD","Interior Design,Commercial Development","50,50",“They’ve been great — we’re really happy with the results of phase one and looking forward to completion.”,http://www.buch.us.com/,https://clutch.co/profile/buch-construction
The Forum DC,Interior Design,The spaces we create stand the test of time,5.0,1 REVIEW,No,Undisclosed,Undisclosed,2 - 9,"Washington, DC",Interior Design,100,"“They’re always focused on getting things done right for us.”
 ",https://www.theforumdc.com/,https://clutch.co/profile/forum-dc
HKS Architects,Interior Design,Designing with purpose to create a better world.,5.0,1 REVIEW,No,Undisclosed,Undisclosed,"1,000 - 9,999","Dallas, TX","Interior Design,Architectural Design,Branding","30,50,20","""We couldn’t be happier with their work; it came in on time and under budget.""",https://www.hksinc.com/,https://clutch.co/profile/hks-architects
LEQB Architects,Interior Design,CREATIVE SPACES FOR LIFE AND BUSINESS THAT CAPTURE,4.5,1 REVIEW,No,Undisclosed,Undisclosed,10 - 49,"Kyiv, Ukraine","Interior Design,Architectural Design","70,30","""They were fully capable of adapting to our needs and schedules, even during rush hours.""",https://www.le-qb.com/,https://clutch.co/profile/leqb-architects
TokyoDex,Interior Design,Better with Art.,5.0,2 REVIEWS,No,"$10,000+",Undisclosed,2 - 9,"Setagaya City, Japan","Interior Design,Print Design,Branding,Other Design","30,30,20,20","""TokyoDex works well with clients.""",https://www.tokyodex.com/top-en,https://clutch.co/profile/tokyodex
BUILD IT,Interior Design,We build places you can’t ignore.,5.0,2 REVIEWS,No,"$250,000+",Undisclosed,50 - 249,"Mississauga, Canada","Interior Design,Commercial Development,Architectural Design,Engineering,Commercial Property Management","15,50,15,15,5","""They were efficient at dealing with any challenge that arose.""",https://www.buildit.ca/,https://clutch.co/profile/build-it
Alt Studio,Interior Design,Brand.Space.Design,5.0,1 REVIEW,No,"$5,000+",Undisclosed,2 - 9,"Rolleston, New Zealand","Interior Design,Branding,Graphic Design","40,50,10",Your creative design studio with a holistic approach to developing thriving brands and interiors for forward-thinking businesses. We are driven by creating memorable and meaningful experiences that…,https://www.altstudio.nz/,https://clutch.co/profile/alt-studio
Second Sight Design,Interior Design,Seeing is believing,5.0,2 REVIEWS,No,"$1,000+",Undisclosed,2 - 9,"San Diego, CA","Interior Design,Branding,Graphic Design,Logo,Web Design","20,20,20,20,20",“Their design is unreal.”,https://www.findsecondsight.com/,https://clutch.co/profile/second-sight-design
3D Studio CGI Kite,Interior Design,Passionate 3D Designers and Game Developers,5.0,5 REVIEWS,No,"$1,000+",$25 - $49 / hr,10 - 49,"Dnipro, Ukraine","Interior Design,Architectural Design,AR/VR Development,Out of Home Design,Video Production,Mobile App Development,Product Design","15,40,15,10,10,5,5","""They far exceeded our expectations.""",https://cgikite.com/,https://clutch.co/profile/3d-studio-cgi-kite
Render Vision,Interior Design,Hyper-realistic 3D visualizations since 2010,5.0,1 REVIEW,No,"$5,000+",Undisclosed,10 - 49,"Offenbach am Main, Germany","Interior Design,Architectural Design,Product Design","30,50,20","""Their designs were highly realistic and they perfectly conveyed the story of the project to our team overseas.""",https://render-vision.com/,https://clutch.co/profile/render-vision
Daya,Interior Design,"Branding, UX, Interior Design Agency | Qatar",4.8,2 REVIEWS,No,"$1,000+",$50 - $99 / hr,2 - 9,"Doha, Qatar","Interior Design,Branding,UX/UI Design,Logo,Mobile App Development,Web Design","25,25,20,10,10,10",“They’re very efficient in how they run their processes.”,https://www.wearedaya.com/,https://clutch.co/profile/daya
Trident - BIM,Interior Design,Intelligence. Efficiency. Sustainability,5.0,1 REVIEW,No,"$5,000+",Undisclosed,10 - 49,"Kharkiv, Ukraine","Interior Design,Architectural Design,Other Digital Marketing","33,34,33","""They really cared about the final results and not about the requirements of the project. """,https://www.trident-bim.com/,https://clutch.co/profile/trident-bim
Urbanology Designs,Interior Design,Design services elevated by beauty,,,No,Undisclosed,Undisclosed,2 - 9,"North Richland Hills, TX",Interior Design,100,We like to say we’re not simply putting objects into a home; we’re crafting a way of living. Getting you there means designing spaces that defy the status quo. Which means solving…,https://www.urbanologydesigns.com/,https://clutch.co/profile/urbanology-designs
Interior Design in BD,Interior Design,"The dream is yours, the responsibility is ours.",,,No,"$10,000+",< $25 / hr,250 - 999,"Dhaka, Bangladesh","Interior Design,BI & Big Data Consulting & SI,Market Research,Other Application Development,Out of Home Design,Product Design","50,10,10,10,10,10",Welcome to Interior Design in bd. Interior Design in BD was established in 2006 in Dhaka Bangladesh. Interior design in bd working in this field for around 20 years and developed almost 500+ Projects…,https://interiordesigninbd.com/,https://clutch.co/profile/interior-design-bd
Darci Hether New York,Interior Design,full-service luxury interior design services,,,No,Undisclosed,Undisclosed,10 - 49,"New York, NY",Interior Design,100,"At darci hether new york, an interior design and decorating firm, we specialize in full-service luxury design that is comprised of conception to completion, turn-key residential interiors. whether…",https://darcihether.com/,https://clutch.co/profile/darci-hether-new-york
Split Rock Studios,Interior Design,A design-build firm,5.0,1 REVIEW,No,Undisclosed,Undisclosed,10 - 49,"New Brighton, MN","Interior Design,Print Design,Other Design","50,30,20",“They knew what they were doing and how to move the project along.”,https://splitrockstudios.com/,https://clutch.co/profile/split-rock-studios
Texturious Designs,Interior Design,"Together, let's create a home you love to live in.",,,No,"$1,000+",$150 - $199 / hr,2 - 9,"West Des Moines, IA",Interior Design,100,"We are an award-winning Interior Design studio for new construction, remodels, and custom furnishings based in West Des Moines, IA. We help families create quality, unique homes by transforming your…",http://www.texturiousdesigns.com/,https://clutch.co/profile/texturious-designs
Breathe Design Studio,Interior Design,AUSTIN DESIGN STUDIO,,,No,Undisclosed,Undisclosed,2 - 9,"Austin, TX",Interior Design,100,"Breathe Design Studio, founded in 2017, is an award-winning full-service residential and boutique commercial design firm headquartered in Austin, Texas, specializing in luxury residential interiors…",https://www.breathedesignstudio.com/,https://clutch.co/profile/breathe-design-studio
Uttu,Interior Design,Building Brands with Purpose. Heart. Soul.,5.0,1 REVIEW,No,"$5,000+",$100 - $149 / hr,2 - 9,"London, United Kingdom","Interior Design,Branding,Web Design","20,50,30","""We’re truly amazed by their ability to capture our needs and translate them into a working brand.""",https://uttu.global/,https://clutch.co/profile/uttu
International Designers By Rita Chraibi,Interior Design,Refined Interior Design & Curated Elegance,5.0,1 REVIEW,No,Undisclosed,Undisclosed,10 - 49,"Miami, FL",Interior Design,100,"""They did a very good job and were punctual.""",https://www.intdesigners.com/,https://clutch.co/profile/international-designers-rita-chraibi
TNT Staging,Interior Design,The Best Home Staging Company in Charlotte NC,5.0,1 REVIEW,No,Undisclosed,Undisclosed,2 - 9,"Charlotte, NC","Interior Design,Other Marketing,Other Design","10,65,25","""They delivered their tasks accurately and on time.""",https://tntstaging.com/,https://clutch.co/profile/tnt-staging
Brave Exhibits,Interior Design,Fortune Favors The Brave,5.0,1 REVIEW,No,Undisclosed,Undisclosed,2 - 9,"Denver, CO","Interior Design,Event Marketing & Planning","10,90","""Brave Exhibits kept me abreast of everything I needed to know…""",https://braveexhibits.com/,https://clutch.co/profile/brave-exhibits
este international,Interior Design,A strategic partnership for demanding architects.,4.7,3 REVIEWS,No,"$5,000+",$25 - $49 / hr,2 - 9,"Dubai, United Arab Emirates","Interior Design,Architectural Design,Lighting Design","30,40,30","""My colleagues were happy that we could rely on este international.""",http://www.esteinternational.com/,https://clutch.co/profile/este-international
OUUM STUDIO,Interior Design,CGI design studio,4.9,7 REVIEWS,No,"$1,000+",$25 - $49 / hr,2 - 9,"L'viv, Ukraine","Interior Design,Graphic Design,Product Design,Lighting Design,Packaging Design","10,70,10,5,5","""The result was very realistic.""",http://ouum.co/,https://clutch.co/profile/ouum-studio
Douglah Designs,Interior Design,Design & Build Showroom,,,No,Undisclosed,Undisclosed,10 - 49,"Lafayette, CA",Interior Design,100,Douglah Designs has been owned and operated by Leila Douglah since 1997 and has grown to become one of the most acclaimed Interior Design-Build firms in the Bay Area. With a team of over 30…,https://douglahdesigns.com/,https://clutch.co/profile/douglah-designs
TABOORET,Interior Design,TABOORET,,,No,Undisclosed,Undisclosed,2 - 9,"Bétera, Spain","Interior Design,Architectural Design,Product Design,Commercial Development,Other Design","70,10,10,5,5","TABOORET is a Ukrainian company which has been improving and developing real estate since 2009.
We create design concepts and design commercial and residential facilities of any complexity.
We adhere…",https://tabooret.com/en,https://clutch.co/profile/tabooret
Douglas Okun & Associates,Interior Design,"Cambridge, MA architectural firm",5.0,1 REVIEW,No,Undisclosed,Undisclosed,2 - 9,"Cambridge, MA","Interior Design,Architectural Design","50,50","""They are incredibly precise and organized.""",http://dougokun.com/,https://clutch.co/profile/douglas-okun-associates
Creation Homes Inc,Interior Design,Construction,5.0,1 REVIEW,No,Undisclosed,Undisclosed,2 - 9,"Bourget, Canada","Interior Design,Architectural Design","50,50","“Once they take you on as a client, your satisfaction is the most important thing to them.”
 ",https://creation-homes.com/,https://clutch.co/profile/creation-homes
Ferrari Enterprises,Interior Design,DMV Contracting Services,5.0,1 REVIEW,No,Undisclosed,Undisclosed,2 - 9,"Sterling, VA","Interior Design,Commercial Development","50,50","“Ferrari Enterprises brings a personal touch to their projects, which helps them stand out.”",http://usplaces.com/Painting%20Contractors/sterling-va/ferrari-enterprises,https://clutch.co/profile/ferrari-enterprises
Virtus Contracts Ltd,Interior Design,Partners in Construction,,,No,"$10,000+",Undisclosed,10 - 49,"London, United Kingdom","Interior Design,Commercial Development,Commercial Property Management,Other Design","45,35,10,10","Virtus Contracts Limited undertake office refits, high end residential refurbishments, property construction, alteration projects, contract management and maintenance works for existing clients as…",http://www.virtus-contracts.co.uk/,https://clutch.co/profile/virtus-contracts
Highly,Interior Design,Building Unforgettable Brands,4.8,3 REVIEWS,No,"$10,000+",$100 - $149 / hr,2 - 9,"Carmarthen, United Kingdom","Interior Design,Branding,Marketing Strategy,Graphic Design","10,40,40,10","""Their friendly and knowledgeable approach to branding was very reassuring.""",https://highly.co.uk/,https://clutch.co/profile/highly
Berman Design,Interior Design,Architecture+Branding: Hospitality/Reuse/Homes,5.0,1 REVIEW,No,Undisclosed,Undisclosed,2 - 9,"Chicago, IL","Interior Design,Architectural Design,Graphic Design,Branding,Web Design","20,50,15,10,5","""Berman Design demonstrated both empathy and understanding towards our situation and goals.""",https://www.bermanarchitecture.com/,https://clutch.co/profile/berman-design
Johnson Chou Design,Interior Design,"Interior Design Service in Ontario, Canada",,,No,Undisclosed,Undisclosed,2 - 9,"Toronto, Canada",Interior Design,100,"Johnson Chou Inc. is a multi-disciplinary design practice encompassing architecture and interiors, furniture, graphic and industrial design - a body of work characterized by conceptual explorations…",https://www.johnsonchou.com/,https://clutch.co/profile/johnson-chou-design
Image 4,Interior Design,New Hampshire Advertising & Design Company,5.0,3 REVIEWS,No,Undisclosed,Undisclosed,10 - 49,"Manchester, NH","Interior Design,Event Marketing & Planning,Out of Home Design,Architectural Design,Branding,Graphic Design,Other Marketing,Corporate Photography,Lighting Design,Market Research,Marketing Strategy","10,15,15,10,10,10,10,5,5,5,5","""The Owner is interested in every project and offers many ideas on improving your booth display.""",https://www.image4.com/,https://clutch.co/profile/image-4
PEPERSALT Design,Interior Design,India Design & Solutions Consultancy,5.0,1 REVIEW,No,"$5,000+",$25 - $49 / hr,2 - 9,"Bengaluru, India","Interior Design,Packaging Design,UX/UI Design,Logo,Graphic Design","15,25,25,20,15","""Commitment is the most impressive thing, they used to support me whenever there was a need.""",http://www.pepersalt.com/,https://clutch.co/profile/pepersalt-design
Syiree International,Interior Design,The Powerful Now,5.0,2 REVIEWS,No,"$1,000+",$50 - $99 / hr,10 - 49,"Virar, India","Interior Design,Web Design,Architectural Design,Branding,Digital Strategy,Search Engine Optimization,Social Media Marketing,Video Production,UX/UI Design,Market Research","13,15,10,10,10,10,10,10,7,5","""The quality and creativity of the product they provided were impressive.""",https://www.syireeinternational.com/,https://clutch.co/profile/syiree-international
AniBuddy Animation Studio,Interior Design,"We create to develop, we create to entertain.",5.0,1 REVIEW,No,"$1,000+",$150 - $199 / hr,10 - 49,"Surat, India","Interior Design,Video Production,Product Design,Architectural Design,Broadcast Video","10,40,30,10,10",''They're doing a great job.'',http://anibuddy.in/,https://clutch.co/profile/anibuddy-animation-studio
Mosaic Architects & Interiors,Interior Design,"Highly-Personalized, Award-Winning Design Firm",,,No,"$100,000+",$150 - $199 / hr,10 - 49,"Boulder, CO","Interior Design,Architectural Design,Other Design","35,60,5",Mosaic Architects & Interiors is an award-winning boutique firm located in California and Colorado specializing in custom estate architecture and interior design. Throughout the design…,https://www.mosaicarchitects.com/,https://clutch.co/profile/mosaic-architects-interiors
"3D World, Inc.",Interior Design,We make experiencing your ideas possible.,5.0,1 REVIEW,No,"$1,000+",$150 - $199 / hr,2 - 9,"New York, NY","Interior Design,Architectural Design,Branding,Graphic Design,Logo,Packaging Design,Product Design,Video Production,Web Design","10,20,10,10,10,10,10,10,10","""Their renderings are truly amazing. I often can't tell the difference between their work and an actual photo.""",https://www.3dworld.nyc/,https://clutch.co/profile/3d-world
The Design Solution,Interior Design,Award-winning architect & design agency in London,,,No,"$10,000+",Undisclosed,10 - 49,"London, United Kingdom","Interior Design,Architectural Design,Graphic Design,Packaging Design","60,20,15,5","  Creating amazing modern retail adventures built on insight, creativity and inspiration. We’re an energetic, multi-national team of design specialists based in London, delivering design and…",http://thedesignsolution.co.uk/,https://clutch.co/profile/design-solution
Roto,Interior Design,Experience Design Studio,,,No,Undisclosed,Undisclosed,50 - 249,"Dublin, OH","Interior Design,Architectural Design","50,50","Roto is a interdisciplinary design firm consisting of specialty studios, including turnkey immersive media, highly interactive exhibit design, custom architectural fabrication, sophisticated a/v…",https://roto.com/,https://clutch.co/profile/roto
Creation Office Fitouts,Interior Design,Inspired Creative Functional,,,No,"$25,000+",Undisclosed,50 - 249,"Nairobi, Kenya","Interior Design,Other Design,Lighting Design","50,30,20","We are an interior design firm, based in Nairobi Kenya. Our team comprises of vibrant, creative, and exemplary interior designers whose sole objective is to deliver quality and excellence to our…",https://creationltd.co.ke/,https://clutch.co/profile/creation-office-fitouts
